rnti,block_size,timestamp,UL/DL,delta
0x4fa1,452,16:34:35.367415,1,0
0x4fa1,26,16:34:35.368582,1,1.3506944451791E-08
0x4fa1,26,16:34:35.377519,1,1.0343750000974E-07
0x4fa1,26,16:34:35.385626,1,9.38310185105706E-08
0x4fa1,26,16:34:35.390559,1,5.70949073575022E-08
0x4fa1,2139,16:34:35.408563,1,2.08379629662581E-07
0x4fa1,822,16:34:35.409856,1,1.49652777947651E-08
0x4fa1,26,16:34:35.441550,1,3.66828703746158E-07
0x4fa1,1779,16:34:35.448497,1,8.04050924729793E-08
0x4fa1,26,16:34:35.478572,1,3.4809027782412E-07
0x4fa1,1635,16:34:35.486496,1,9.1712963001811E-08
0x4fa1,1350,16:34:35.487650,1,1.33564814763787E-08
0x4fa1,1254,16:34:35.494603,1,8.04745370341919E-08
0x4fa1,1923,16:34:35.496664,1,2.38541666419678E-08
0x4fa1,1158,16:34:35.497897,1,1.42708334038844E-08
0x4fa1,1494,16:34:35.521522,1,2.7343749997577E-07
0x4fa1,1494,16:34:35.522659,1,1.31597222008395E-08
0x4fa1,26,16:34:35.531637,1,1.03912036975018E-07
0x4fa1,886,16:34:35.537419,1,6.69212963932964E-08
0x4fa1,1398,16:34:35.544499,1,8.19444444521977E-08
0x4fa1,1995,16:34:35.547435,1,3.3981481406542E-08
0x4fa1,1995,16:34:35.548649,1,1.40509258672594E-08
0x4fa1,26,16:34:35.549663,1,1.17361111939829E-08
0x4fa1,636,16:34:35.558543,1,1.02777777732932E-07
0x4fa1,1494,16:34:35.562530,1,4.61458333766984E-08
0x4fa1,1494,16:34:35.564360,1,2.11805555316857E-08
0x4fa1,1707,16:34:35.579762,1,1.78263888872543E-07
0x4fa1,588,16:34:35.580966,1,1.39351852279646E-08
0x4fa1,2688,16:34:35.583609,1,3.05902777553158E-08
0x4fa1,1707,16:34:35.587500,1,4.50347222846759E-08
0x4fa1,1494,16:34:35.595521,1,9.28356481688653E-08
0x4fa1,1302,16:34:35.596684,1,1.34606480406418E-08
0x4fa1,1635,16:34:35.604519,1,9.06828704350104E-08
0x4fa1,822,16:34:35.605757,1,1.43287036680206E-08
0x4fa1,1398,16:34:35.606667,1,1.05324073906843E-08
0x4fa1,2067,16:34:35.619467,1,1.48148148193528E-07
0x4fa1,1542,16:34:35.620617,1,1.33101851762518E-08
0x4fa1,1542,16:34:35.628521,1,9.14814815011766E-08
0x4fa1,1110,16:34:35.629535,1,1.17361110829606E-08
0x4fa1,1779,16:34:35.630646,1,1.28587962500148E-08
0x4fa1,1542,16:34:35.631898,1,1.4490740829487E-08
0x4fa1,588,16:34:35.636527,1,5.35763888809271E-08
0x4fa1,2067,16:34:35.637445,1,1.0624999990938E-08
0x4fa1,1635,16:34:35.638661,1,1.40740740173229E-08
0x4fa1,1635,16:34:35.639793,1,1.31018519367032E-08
0x4fa1,1494,16:34:35.641020,1,1.42013888426717E-08
0x4fa1,1046,16:34:35.642055,1,1.19791666586266E-08
0x4fa1,660,16:34:35.642986,1,1.07754629663503E-08
0x4fa1,1494,16:34:35.644522,1,1.77777778054278E-08
0x4fa1,300,16:34:35.645595,1,1.24189815098319E-08
0x4fa1,1635,16:34:35.646562,1,1.11921295564699E-08
0x4fa1,216,16:34:35.647716,1,1.33564814763787E-08
0x4fa1,1635,16:34:35.655626,1,9.15509259513669E-08
0x4fa1,1494,16:34:35.656905,1,1.4803240744321E-08
0x4fa1,588,16:34:35.657896,1,1.14699073572311E-08
0x4fa1,1635,16:34:35.663921,1,6.97337962929367E-08
0x4fa1,1254,16:34:35.665573,1,1.91203703980847E-08
0x4fa1,180,16:34:35.667057,1,1.71759259037785E-08
0x4fa1,1350,16:34:35.668205,1,1.32870371372107E-08
0x4fa1,1350,16:34:35.669666,1,1.6909722178049E-08
0x4fa1,516,16:34:35.671072,1,1.62731480513045E-08
0x4fa1,1254,16:34:35.675548,1,5.1805555623119E-08
