frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction,Application
1,Jul 26 2019 19:16:29.596519000 MST,0.0,22,2.0,1.0,amazon
2,Jul 26 2019 19:16:29.606703000 MST,0.010184,22,70.0,0.0,amazon
3,Jul 26 2019 19:16:29.625830000 MST,0.019127,56,70.0,1.0,amazon
4,Jul 26 2019 19:16:29.651609000 MST,0.025779,172,70.0,0.0,amazon
5,Jul 26 2019 19:16:29.652623000 MST,0.001014,72,70.0,1.0,amazon
6,Jul 26 2019 19:16:29.671630000 MST,0.019007,548,70.0,0.0,amazon
7,Jul 26 2019 19:16:29.791570000 MST,0.11994,548,70.0,0.0,amazon
8,Jul 26 2019 19:16:29.792597000 MST,0.001027,47,70.0,1.0,amazon
9,Jul 26 2019 19:16:29.793631000 MST,0.001034,43,70.0,1.0,amazon
10,Jul 26 2019 19:16:29.811639000 MST,0.018008,548,70.0,0.0,amazon
11,Jul 26 2019 19:16:29.812671000 MST,0.001032,41,70.0,1.0,amazon
12,Jul 26 2019 19:16:29.831682000 MST,0.019011,548,70.0,0.0,amazon
13,Jul 26 2019 19:16:29.832676000 MST,0.000994,22,70.0,1.0,amazon
14,Jul 26 2019 19:16:29.833554000 MST,0.000878,33,70.0,1.0,amazon
15,Jul 26 2019 19:16:29.851746000 MST,0.018192,548,70.0,0.0,amazon
16,Jul 26 2019 19:16:29.852606000 MST,0.00086,120,70.0,1.0,amazon
17,Jul 26 2019 19:16:29.853617000 MST,0.001011,120,70.0,1.0,amazon
18,Jul 26 2019 19:16:29.871594000 MST,0.017977,548,70.0,0.0,amazon
19,Jul 26 2019 19:16:29.872692000 MST,0.001098,22,70.0,1.0,amazon
20,Jul 26 2019 19:16:29.891676000 MST,0.018984,548,70.0,0.0,amazon
21,Jul 26 2019 19:16:29.892730000 MST,0.001054,22,70.0,1.0,amazon
22,Jul 26 2019 19:16:30.053568000 MST,0.160838,72,70.0,1.0,amazon
23,Jul 26 2019 19:16:30.071749000 MST,0.018181,548,70.0,0.0,amazon
24,Jul 26 2019 19:16:30.491711000 MST,0.419962,548,70.0,0.0,amazon
25,Jul 26 2019 19:16:30.504733000 MST,0.013022,88,70.0,1.0,amazon
26,Jul 26 2019 19:16:30.511579000 MST,0.006846,548,70.0,0.0,amazon
27,Jul 26 2019 19:16:30.531628000 MST,0.020049,548,70.0,0.0,amazon
28,Jul 26 2019 19:16:30.544587000 MST,0.012959,72,70.0,1.0,amazon
29,Jul 26 2019 19:16:30.550618000 MST,0.006031,120,70.0,1.0,amazon
30,Jul 26 2019 19:16:30.561558000 MST,0.01094,100,70.0,1.0,amazon
31,Jul 26 2019 19:16:30.571717000 MST,0.010159,548,70.0,0.0,amazon
32,Jul 26 2019 19:16:30.573645000 MST,0.001928,3077,70.0,1.0,amazon
33,Jul 26 2019 19:16:30.581669000 MST,0.008024,128,70.0,1.0,amazon
34,Jul 26 2019 19:16:30.591601000 MST,0.009932,548,70.0,0.0,amazon
35,Jul 26 2019 19:16:30.604699000 MST,0.013098,148,70.0,1.0,amazon
36,Jul 26 2019 19:16:30.610589000 MST,0.00589,240,70.0,1.0,amazon
37,Jul 26 2019 19:16:30.611677000 MST,0.001088,548,70.0,0.0,amazon
38,Jul 26 2019 19:16:30.624568000 MST,0.012891,364,70.0,1.0,amazon
39,Jul 26 2019 19:16:30.631711000 MST,0.007143,548,70.0,0.0,amazon
40,Jul 26 2019 19:16:30.640649000 MST,0.008938,548,70.0,0.0,amazon
41,Jul 26 2019 19:16:30.645655000 MST,0.005006,216,70.0,1.0,amazon
42,Jul 26 2019 19:16:30.649638000 MST,0.003983,790,70.0,0.0,amazon
43,Jul 26 2019 19:16:30.652655000 MST,0.003017,88,70.0,1.0,amazon
44,Jul 26 2019 19:16:30.653746000 MST,0.001091,72,70.0,1.0,amazon
45,Jul 26 2019 19:16:30.654551000 MST,0.000805,240,70.0,1.0,amazon
46,Jul 26 2019 19:16:30.665524000 MST,0.010973,72,70.0,1.0,amazon
47,Jul 26 2019 19:16:30.671613000 MST,0.006089,548,70.0,0.0,amazon
48,Jul 26 2019 19:16:30.691659000 MST,0.020046,548,70.0,0.0,amazon
49,Jul 26 2019 19:16:30.698572000 MST,0.006913,188,70.0,1.0,amazon
50,Jul 26 2019 19:16:30.700725000 MST,0.002153,268,70.0,0.0,amazon
51,Jul 26 2019 19:16:30.731587000 MST,0.030862,548,70.0,0.0,amazon
52,Jul 26 2019 19:16:30.741647000 MST,0.01006,284,70.0,1.0,amazon
53,Jul 26 2019 19:16:30.744702000 MST,0.003055,72,70.0,1.0,amazon
54,Jul 26 2019 19:16:30.753553000 MST,0.008851,72,70.0,1.0,amazon
55,Jul 26 2019 19:16:30.771682000 MST,0.018129,548,70.0,0.0,amazon
56,Jul 26 2019 19:16:30.784601000 MST,0.012919,308,70.0,1.0,amazon
57,Jul 26 2019 19:16:30.816586000 MST,0.031985,72,70.0,1.0,amazon
58,Jul 26 2019 19:16:30.851713000 MST,0.035127,548,70.0,0.0,amazon
59,Jul 26 2019 19:16:30.860617000 MST,0.008904,30,70.0,0.0,amazon
60,Jul 26 2019 19:16:30.869607000 MST,0.00899,300,70.0,0.0,amazon
61,Jul 26 2019 19:16:30.909658000 MST,0.040051,72,70.0,1.0,amazon
62,Jul 26 2019 19:16:30.910579000 MST,0.000921,108,70.0,1.0,amazon
63,Jul 26 2019 19:16:30.913579000 MST,0.003,188,70.0,1.0,amazon
64,Jul 26 2019 19:16:30.914655000 MST,0.001076,200,70.0,1.0,amazon
65,Jul 26 2019 19:16:30.971656000 MST,0.057001,548,70.0,0.0,amazon
66,Jul 26 2019 19:16:31.371583000 MST,0.399927,548,70.0,0.0,amazon
67,Jul 26 2019 19:16:31.373657000 MST,0.002074,64,70.0,1.0,amazon
68,Jul 26 2019 19:16:31.391628000 MST,0.017971,548,70.0,0.0,amazon
69,Jul 26 2019 19:16:31.404593000 MST,0.012965,64,70.0,1.0,amazon
70,Jul 26 2019 19:16:31.415516000 MST,0.010923,64,70.0,1.0,amazon
71,Jul 26 2019 19:16:31.442551000 MST,0.027035,3197,70.0,1.0,amazon
72,Jul 26 2019 19:16:31.471654000 MST,0.029103,548,70.0,0.0,amazon
73,Jul 26 2019 19:16:31.484619000 MST,0.012965,364,70.0,1.0,amazon
74,Jul 26 2019 19:16:31.511579000 MST,0.02696,548,70.0,0.0,amazon
75,Jul 26 2019 19:16:31.527739000 MST,0.01616,64,70.0,1.0,amazon
76,Jul 26 2019 19:16:31.549695000 MST,0.021956,160,70.0,1.0,amazon
77,Jul 26 2019 19:16:31.571723000 MST,0.022028,548,70.0,0.0,amazon
78,Jul 26 2019 19:16:31.587668000 MST,0.015945,64,70.0,1.0,amazon
79,Jul 26 2019 19:16:31.594594000 MST,0.006926,88,70.0,1.0,amazon
80,Jul 26 2019 19:16:31.610562000 MST,0.015968,308,70.0,1.0,amazon
81,Jul 26 2019 19:16:31.631696000 MST,0.021134,548,70.0,0.0,amazon
82,Jul 26 2019 19:16:31.640574000 MST,0.008878,128,70.0,0.0,amazon
83,Jul 26 2019 19:16:31.649598000 MST,0.009024,404,70.0,0.0,amazon
84,Jul 26 2019 19:16:31.653685000 MST,0.004087,72,70.0,1.0,amazon
85,Jul 26 2019 19:16:31.654541000 MST,0.000856,232,70.0,1.0,amazon
86,Jul 26 2019 19:16:31.662559000 MST,0.008018,88,70.0,1.0,amazon
87,Jul 26 2019 19:16:31.671609000 MST,0.00905,548,70.0,0.0,amazon
88,Jul 26 2019 19:16:31.691631000 MST,0.020022,548,70.0,0.0,amazon
89,Jul 26 2019 19:16:31.704577000 MST,0.012946,200,70.0,1.0,amazon
90,Jul 26 2019 19:16:31.705602000 MST,0.001025,232,70.0,1.0,amazon
91,Jul 26 2019 19:16:31.711685000 MST,0.006083,548,70.0,0.0,amazon
92,Jul 26 2019 19:16:31.720663000 MST,0.008978,886,70.0,0.0,amazon
93,Jul 26 2019 19:16:31.729675000 MST,0.009012,1158,70.0,0.0,amazon
94,Jul 26 2019 19:16:31.733684000 MST,0.004009,120,70.0,1.0,amazon
95,Jul 26 2019 19:16:31.751622000 MST,0.017938,548,70.0,0.0,amazon
96,Jul 26 2019 19:16:31.764611000 MST,0.012989,240,70.0,1.0,amazon
97,Jul 26 2019 19:16:31.785648000 MST,0.021037,72,70.0,1.0,amazon
98,Jul 26 2019 19:16:31.791576000 MST,0.005928,548,70.0,0.0,amazon
99,Jul 26 2019 19:16:31.811624000 MST,0.020048,548,70.0,0.0,amazon
100,Jul 26 2019 19:16:31.824552000 MST,0.012928,72,70.0,1.0,amazon
101,Jul 26 2019 19:16:31.845621000 MST,0.021069,72,70.0,1.0,amazon
102,Jul 26 2019 19:16:31.865662000 MST,0.020041,708,70.0,1.0,amazon
103,Jul 26 2019 19:16:31.866627000 MST,0.000965,364,70.0,1.0,amazon
104,Jul 26 2019 19:16:31.867596000 MST,0.000969,308,70.0,1.0,amazon
105,Jul 26 2019 19:16:31.891657000 MST,0.024061,548,70.0,0.0,amazon
106,Jul 26 2019 19:16:31.911671000 MST,0.020014,548,70.0,0.0,amazon
107,Jul 26 2019 19:16:31.924636000 MST,0.012965,72,70.0,1.0,amazon
108,Jul 26 2019 19:16:33.231576000 MST,1.30694,548,70.0,0.0,amazon
109,Jul 26 2019 19:16:33.244666000 MST,0.01309,160,70.0,1.0,amazon
110,Jul 26 2019 19:16:33.271679000 MST,0.027013,548,70.0,0.0,amazon
111,Jul 26 2019 19:16:33.314590000 MST,0.042911,72,70.0,1.0,amazon
112,Jul 26 2019 19:16:33.331668000 MST,0.017078,548,70.0,0.0,amazon
113,Jul 26 2019 19:16:33.375607000 MST,0.043939,108,70.0,1.0,amazon
114,Jul 26 2019 19:16:33.376705000 MST,0.001098,1446,70.0,1.0,amazon
115,Jul 26 2019 19:16:33.377532000 MST,0.000827,3978,70.0,1.0,amazon
116,Jul 26 2019 19:16:33.378609000 MST,0.001077,284,70.0,1.0,amazon
117,Jul 26 2019 19:16:33.396544000 MST,0.017935,72,70.0,1.0,amazon
118,Jul 26 2019 19:16:33.411676000 MST,0.015132,548,70.0,0.0,amazon
119,Jul 26 2019 19:16:33.431724000 MST,0.020048,548,70.0,0.0,amazon
120,Jul 26 2019 19:16:33.475677000 MST,0.043953,160,70.0,1.0,amazon
121,Jul 26 2019 19:16:33.491772000 MST,0.016095,548,70.0,0.0,amazon
122,Jul 26 2019 19:16:33.500549000 MST,0.008777,372,70.0,0.0,amazon
123,Jul 26 2019 19:16:33.545585000 MST,0.045036,468,70.0,1.0,amazon
124,Jul 26 2019 19:16:33.571717000 MST,0.026132,548,70.0,0.0,amazon
125,Jul 26 2019 19:16:33.671616000 MST,0.099899,548,70.0,0.0,amazon
126,Jul 26 2019 19:16:33.684516000 MST,0.0129,160,70.0,1.0,amazon
127,Jul 26 2019 19:16:33.711709000 MST,0.027193,548,70.0,0.0,amazon
128,Jul 26 2019 19:16:33.776599000 MST,0.06489,72,70.0,1.0,amazon
129,Jul 26 2019 19:16:33.811602000 MST,0.035003,548,70.0,0.0,amazon
