frame.number,frame.time,frame.time_delta,frame.cumulative,frame.len,mac-lte.rnti,mac-lte.direction,Application
1,Jul 26 2019 19:24:40.188093000 MST,0,0,22,2,1,amazon
2,Jul 26 2019 19:24:40.198257000 MST,0.010164,0.010164,22,70,0,amazon
3,Jul 26 2019 19:24:40.216286000 MST,0.018029,0.028193,56,70,1,amazon
4,Jul 26 2019 19:24:40.243217000 MST,0.026931,0.055124,172,70,0,amazon
5,Jul 26 2019 19:24:40.244148000 MST,0.000931,0.056055,34,70,1,amazon
6,Jul 26 2019 19:24:40.245085000 MST,0.000937,0.056992,34,70,1,amazon
7,Jul 26 2019 19:24:40.263272000 MST,0.018187,0.075179,548,70,0,amazon
8,Jul 26 2019 19:24:40.264257000 MST,0.000985,0.076164,72,70,1,amazon
9,Jul 26 2019 19:24:40.283310000 MST,0.019053,0.095217,548,70,0,amazon
10,Jul 26 2019 19:24:40.403241000 MST,0.119931,0.215148,548,70,0,amazon
11,Jul 26 2019 19:24:40.404223000 MST,0.000982,0.21613,47,70,1,amazon
12,Jul 26 2019 19:24:40.405115000 MST,0.000892,0.217022,43,70,1,amazon
13,Jul 26 2019 19:24:40.423307000 MST,0.018192,0.235214,548,70,0,amazon
14,Jul 26 2019 19:24:40.424128000 MST,0.000821,0.236035,22,70,1,amazon
15,Jul 26 2019 19:24:40.425253000 MST,0.001125,0.23716,37,70,1,amazon
16,Jul 26 2019 19:24:40.443145000 MST,0.017892,0.255052,548,70,0,amazon
17,Jul 26 2019 19:24:40.444109000 MST,0.000964,0.256016,22,70,1,amazon
18,Jul 26 2019 19:24:40.445211000 MST,0.001102,0.257118,33,70,1,amazon
19,Jul 26 2019 19:24:40.463194000 MST,0.017983,0.275101,548,70,0,amazon
20,Jul 26 2019 19:24:40.464233000 MST,0.001039,0.27614,120,70,1,amazon
21,Jul 26 2019 19:24:40.465095000 MST,0.000862,0.277002,120,70,1,amazon
22,Jul 26 2019 19:24:40.483263000 MST,0.018168,0.29517,548,70,0,amazon
23,Jul 26 2019 19:24:40.503312000 MST,0.020049,0.315219,548,70,0,amazon
24,Jul 26 2019 19:24:40.504110000 MST,0.000798,0.316017,22,70,1,amazon
25,Jul 26 2019 19:24:40.666134000 MST,0.162024,0.478041,72,70,1,amazon
26,Jul 26 2019 19:24:40.683222000 MST,0.017088,0.495129,548,70,0,amazon
27,Jul 26 2019 19:24:41.123232000 MST,0.44001,0.935139,548,70,0,amazon
28,Jul 26 2019 19:24:41.136180000 MST,0.012948,0.948087,88,70,1,amazon
29,Jul 26 2019 19:24:41.143275000 MST,0.007095,0.955182,548,70,0,amazon
30,Jul 26 2019 19:24:41.157030000 MST,0.013755,0.968937,100,70,1,amazon
31,Jul 26 2019 19:24:41.163146000 MST,0.006116,0.975053,548,70,0,amazon
32,Jul 26 2019 19:24:41.176251000 MST,0.013105,0.988158,72,70,1,amazon
33,Jul 26 2019 19:24:41.183194000 MST,0.006943,0.995101,548,70,0,amazon
34,Jul 26 2019 19:24:41.193047000 MST,0.009853,1.004954,120,70,1,amazon
35,Jul 26 2019 19:24:41.196115000 MST,0.003068,1.008022,88,70,1,amazon
36,Jul 26 2019 19:24:41.205119000 MST,0.009004,1.017026,3077,70,1,amazon
37,Jul 26 2019 19:24:41.223116000 MST,0.017997,1.035023,548,70,0,amazon
38,Jul 26 2019 19:24:41.223119000 MST,3.00E-06,1.035026,128,70,1,amazon
39,Jul 26 2019 19:24:41.232150000 MST,0.009031,1.044057,208,70,0,amazon
40,Jul 26 2019 19:24:41.236183000 MST,0.004033,1.04809,88,70,1,amazon
41,Jul 26 2019 19:24:41.241177000 MST,0.004994,1.053084,500,70,0,amazon
42,Jul 26 2019 19:24:41.246156000 MST,0.004979,1.058063,72,70,1,amazon
43,Jul 26 2019 19:24:41.247171000 MST,0.001015,1.059078,240,70,1,amazon
44,Jul 26 2019 19:24:41.254158000 MST,0.006987,1.066065,364,70,1,amazon
45,Jul 26 2019 19:24:41.263185000 MST,0.009027,1.075092,548,70,0,amazon
46,Jul 26 2019 19:24:41.276205000 MST,0.01302,1.088112,72,70,1,amazon
47,Jul 26 2019 19:24:41.277129000 MST,0.000924,1.089036,160,70,1,amazon
48,Jul 26 2019 19:24:41.283229000 MST,0.0061,1.095136,548,70,0,amazon
49,Jul 26 2019 19:24:41.299220000 MST,0.015991,1.111127,72,70,1,amazon
50,Jul 26 2019 19:24:41.303052000 MST,0.003832,1.114959,88,70,1,amazon
51,Jul 26 2019 19:24:41.321149000 MST,0.018097,1.133056,188,70,1,amazon
52,Jul 26 2019 19:24:41.323153000 MST,0.002004,1.13506,548,70,0,amazon
53,Jul 26 2019 19:24:41.335276000 MST,0.012123,1.147183,72,70,1,amazon
54,Jul 26 2019 19:24:41.343209000 MST,0.007933,1.155116,548,70,0,amazon
55,Jul 26 2019 19:24:41.352267000 MST,0.009058,1.164174,216,70,0,amazon
56,Jul 26 2019 19:24:41.356152000 MST,0.003885,1.168059,72,70,1,amazon
57,Jul 26 2019 19:24:41.361120000 MST,0.004968,1.173027,500,70,0,amazon
58,Jul 26 2019 19:24:41.374265000 MST,0.013145,1.186172,308,70,1,amazon
59,Jul 26 2019 19:24:41.383100000 MST,0.008835,1.195007,548,70,0,amazon
60,Jul 26 2019 19:24:41.392165000 MST,0.009065,1.204072,72,70,1,amazon
61,Jul 26 2019 19:24:41.393204000 MST,0.001039,1.205111,232,70,1,amazon
62,Jul 26 2019 19:24:41.423222000 MST,0.030018,1.235129,532,70,0,amazon
63,Jul 26 2019 19:24:41.443105000 MST,0.019883,1.255012,532,70,0,amazon
64,Jul 26 2019 19:24:41.467182000 MST,0.024077,1.279089,72,70,1,amazon
65,Jul 26 2019 19:24:41.503255000 MST,0.036073,1.315162,532,70,0,amazon
66,Jul 26 2019 19:24:41.543153000 MST,0.039898,1.35506,160,70,1,amazon
67,Jul 26 2019 19:24:41.549130000 MST,0.005977,1.361037,388,70,1,amazon
68,Jul 26 2019 19:24:41.583073000 MST,0.033943,1.39498,532,70,0,amazon
69,Jul 26 2019 19:24:41.763241000 MST,0.180168,1.575148,548,70,0,amazon
70,Jul 26 2019 19:24:41.776122000 MST,0.012881,1.588029,88,70,1,amazon
71,Jul 26 2019 19:24:41.803137000 MST,0.027015,1.615044,548,70,0,amazon
72,Jul 26 2019 19:24:41.816218000 MST,0.013081,1.628125,72,70,1,amazon
73,Jul 26 2019 19:24:41.844089000 MST,0.027871,1.655996,2784,70,1,amazon
