frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
1,Jul 26 2019 19:30:16.168355000 MST,0,0,22,2,1
2,Jul 26 2019 19:30:16.178265000 MST,0.00991,0.00991,22,70,0
3,Jul 26 2019 19:30:16.195363000 MST,0.017098,0.027008,56,70,1
4,Jul 26 2019 19:30:16.223413000 MST,0.02805,0.055058,172,70,0
5,Jul 26 2019 19:30:16.224174000 MST,0.000761,0.055819,33,70,1
6,Jul 26 2019 19:30:16.225330000 MST,0.001156,0.056975,33,70,1
7,Jul 26 2019 19:30:16.243275000 MST,0.017945,0.07492,548,70,0
8,Jul 26 2019 19:30:16.244295000 MST,0.00102,0.07594,72,70,1
9,Jul 26 2019 19:30:16.263320000 MST,0.019025,0.094965,548,70,0
10,Jul 26 2019 19:30:16.383240000 MST,0.11992,0.214885,548,70,0
11,Jul 26 2019 19:30:16.384215000 MST,0.000975,0.21586,47,70,1
12,Jul 26 2019 19:30:16.385303000 MST,0.001088,0.216948,43,70,1
13,Jul 26 2019 19:30:16.403298000 MST,0.017995,0.234943,548,70,0
14,Jul 26 2019 19:30:16.404293000 MST,0.000995,0.235938,41,70,1
15,Jul 26 2019 19:30:16.423325000 MST,0.019032,0.25497,548,70,0
16,Jul 26 2019 19:30:16.424333000 MST,0.001008,0.255978,22,70,1
17,Jul 26 2019 19:30:16.425208000 MST,0.000875,0.256853,33,70,1
18,Jul 26 2019 19:30:16.443469000 MST,0.018261,0.275114,548,70,0
19,Jul 26 2019 19:30:16.444229000 MST,0.00076,0.275874,120,70,1
20,Jul 26 2019 19:30:16.445281000 MST,0.001052,0.276926,120,70,1
21,Jul 26 2019 19:30:16.463238000 MST,0.017957,0.294883,548,70,0
22,Jul 26 2019 19:30:16.464265000 MST,0.001027,0.29591,22,70,1
23,Jul 26 2019 19:30:16.483327000 MST,0.019062,0.314972,548,70,0
24,Jul 26 2019 19:30:16.484319000 MST,0.000992,0.315964,22,70,1
25,Jul 26 2019 19:30:16.646309000 MST,0.16199,0.477954,72,70,1
26,Jul 26 2019 19:30:16.663421000 MST,0.017112,0.495066,548,70,0
27,Jul 26 2019 19:30:17.023413000 MST,0.359992,0.855058,548,70,0
28,Jul 26 2019 19:30:17.036340000 MST,0.012927,0.867985,88,70,1
29,Jul 26 2019 19:30:17.043281000 MST,0.006941,0.874926,548,70,0
30,Jul 26 2019 19:30:17.057243000 MST,0.013962,0.888888,100,70,1
31,Jul 26 2019 19:30:17.063301000 MST,0.006058,0.894946,548,70,0
32,Jul 26 2019 19:30:17.076253000 MST,0.012952,0.907898,72,70,1
33,Jul 26 2019 19:30:17.083376000 MST,0.007123,0.915021,548,70,0
34,Jul 26 2019 19:30:17.093241000 MST,0.009865,0.924886,120,70,1
35,Jul 26 2019 19:30:17.096305000 MST,0.003064,0.92795,88,70,1
36,Jul 26 2019 19:30:17.103196000 MST,0.006891,0.934841,3077,70,1
37,Jul 26 2019 19:30:17.123300000 MST,0.020104,0.954945,548,70,0
38,Jul 26 2019 19:30:17.132395000 MST,0.009095,0.96404,372,70,0
39,Jul 26 2019 19:30:17.133160000 MST,0.000765,0.964805,128,70,1
40,Jul 26 2019 19:30:17.136201000 MST,0.003041,0.967846,88,70,1
41,Jul 26 2019 19:30:17.141412000 MST,0.005211,0.973057,660,70,0
42,Jul 26 2019 19:30:17.146264000 MST,0.004852,0.977909,308,70,1
43,Jul 26 2019 19:30:17.154277000 MST,0.008013,0.985922,364,70,1
44,Jul 26 2019 19:30:17.163374000 MST,0.009097,0.995019,548,70,0
45,Jul 26 2019 19:30:17.172218000 MST,0.008844,1.003863,64,70,0
46,Jul 26 2019 19:30:17.176246000 MST,0.004028,1.007891,72,70,1
47,Jul 26 2019 19:30:17.177170000 MST,0.000924,1.008815,160,70,1
48,Jul 26 2019 19:30:17.181285000 MST,0.004115,1.01293,340,70,0
49,Jul 26 2019 19:30:17.198258000 MST,0.016973,1.029903,72,70,1
50,Jul 26 2019 19:30:17.204288000 MST,0.00603,1.035933,88,70,1
51,Jul 26 2019 19:30:17.219190000 MST,0.014902,1.050835,188,70,1
52,Jul 26 2019 19:30:17.223346000 MST,0.004156,1.054991,548,70,0
53,Jul 26 2019 19:30:17.225229000 MST,0.001883,1.056874,72,70,1
54,Jul 26 2019 19:30:17.243222000 MST,0.017993,1.074867,548,70,0
55,Jul 26 2019 19:30:17.252283000 MST,0.009061,1.083928,548,70,0
56,Jul 26 2019 19:30:17.256276000 MST,0.003993,1.087921,72,70,1
57,Jul 26 2019 19:30:17.265150000 MST,0.008874,1.096795,308,70,1
58,Jul 26 2019 19:30:17.283318000 MST,0.018168,1.114963,548,70,0
59,Jul 26 2019 19:30:17.293180000 MST,0.009862,1.124825,72,70,1
60,Jul 26 2019 19:30:17.294273000 MST,0.001093,1.125918,232,70,1
61,Jul 26 2019 19:30:17.323238000 MST,0.028965,1.154883,548,70,0
62,Jul 26 2019 19:30:17.368234000 MST,0.044996,1.199879,72,70,1
63,Jul 26 2019 19:30:17.403269000 MST,0.035035,1.234914,548,70,0
64,Jul 26 2019 19:30:17.444178000 MST,0.040909,1.275823,160,70,1
65,Jul 26 2019 19:30:17.449143000 MST,0.004965,1.280788,388,70,1
66,Jul 26 2019 19:30:17.483286000 MST,0.034143,1.314931,548,70,0
67,Jul 26 2019 19:30:17.843293000 MST,0.360007,1.674938,548,70,0
68,Jul 26 2019 19:30:17.845167000 MST,0.001874,1.676812,64,70,1
69,Jul 26 2019 19:30:17.863334000 MST,0.018167,1.694979,548,70,0
