frame.number,frame.time,frame.time_delta,frame.len,mac-lte.rnti,mac-lte.direction
1,Jun 17 2019 12:38:07.750037000 MST,0.000000000,22,2,1
2,Jun 17 2019 12:38:07.760020000 MST,0.009983000,22,70,0
3,Jun 17 2019 12:38:07.776011000 MST,0.015991000,56,70,1
4,Jun 17 2019 12:38:07.805193000 MST,0.029182000,172,70,0
5,Jun 17 2019 12:38:07.805979000 MST,0.000786000,76,70,1
6,Jun 17 2019 12:38:07.825187000 MST,0.019208000,548,70,0
7,Jun 17 2019 12:38:07.965147000 MST,0.139960000,548,70,0
8,Jun 17 2019 12:38:07.965959000 MST,0.000812000,47,70,1
9,Jun 17 2019 12:38:07.967021000 MST,0.001062000,43,70,1
10,Jun 17 2019 12:38:07.985125000 MST,0.018104000,548,70,0
11,Jun 17 2019 12:38:07.986072000 MST,0.000947000,41,70,1
12,Jun 17 2019 12:38:08.005131000 MST,0.019059000,548,70,0
13,Jun 17 2019 12:38:08.006058000 MST,0.000927000,33,70,1
14,Jun 17 2019 12:38:08.025141000 MST,0.019083000,548,70,0
15,Jun 17 2019 12:38:08.025978000 MST,0.000837000,120,70,1
16,Jun 17 2019 12:38:08.027027000 MST,0.001049000,120,70,1
17,Jun 17 2019 12:38:08.045063000 MST,0.018036000,548,70,0
18,Jun 17 2019 12:38:08.045980000 MST,0.000917000,22,70,1
19,Jun 17 2019 12:38:08.085116000 MST,0.039136000,548,70,0
20,Jun 17 2019 12:38:08.086085000 MST,0.000969000,22,70,1
21,Jun 17 2019 12:38:08.229125000 MST,0.143040000,72,70,1
22,Jun 17 2019 12:38:08.265019000 MST,0.035894000,548,70,0
23,Jun 17 2019 12:38:09.405008000 MST,1.139989000,548,70,0
24,Jun 17 2019 12:38:09.418073000 MST,0.013065000,100,70,1
25,Jun 17 2019 12:38:09.454968000 MST,0.036895000,120,70,1
26,Jun 17 2019 12:38:09.505067000 MST,0.050099000,548,70,0
27,Jun 17 2019 12:38:09.517941000 MST,0.012874000,148,70,1
28,Jun 17 2019 12:38:09.545020000 MST,0.027079000,548,70,0
29,Jun 17 2019 12:38:09.553999000 MST,0.008979000,128,70,0
30,Jun 17 2019 12:38:09.555055000 MST,0.001056000,148,70,1
31,Jun 17 2019 12:38:09.558028000 MST,0.002973000,72,70,1
32,Jun 17 2019 12:38:09.563126000 MST,0.005098000,404,70,0
33,Jun 17 2019 12:38:09.566929000 MST,0.003803000,72,70,1
34,Jun 17 2019 12:38:09.568037000 MST,0.001108000,232,70,1
35,Jun 17 2019 12:38:09.577051000 MST,0.009014000,120,70,1
36,Jun 17 2019 12:38:09.585084000 MST,0.008033000,2496,70,1
37,Jun 17 2019 12:38:09.585086000 MST,0.000002000,548,70,0
38,Jun 17 2019 12:38:09.597087000 MST,0.012001000,72,70,1
39,Jun 17 2019 12:38:09.599010000 MST,0.001923000,136,70,1
40,Jun 17 2019 12:38:09.605127000 MST,0.006117000,548,70,0
41,Jun 17 2019 12:38:09.608997000 MST,0.003870000,240,70,1
42,Jun 17 2019 12:38:09.616074000 MST,0.007077000,216,70,1
43,Jun 17 2019 12:38:09.618043000 MST,0.001969000,88,70,1
44,Jun 17 2019 12:38:09.626055000 MST,0.008012000,100,70,1
45,Jun 17 2019 12:38:09.645093000 MST,0.019038000,548,70,0
46,Jun 17 2019 12:38:09.657963000 MST,0.012870000,364,70,1
47,Jun 17 2019 12:38:09.665092000 MST,0.007129000,548,70,0
48,Jun 17 2019 12:38:09.676958000 MST,0.011866000,72,70,1
49,Jun 17 2019 12:38:09.685174000 MST,0.008216000,548,70,0
50,Jun 17 2019 12:38:09.687951000 MST,0.002777000,88,70,1
51,Jun 17 2019 12:38:09.698045000 MST,0.010094000,340,70,1
52,Jun 17 2019 12:38:09.705043000 MST,0.006998000,548,70,0
53,Jun 17 2019 12:38:09.714074000 MST,0.009031000,216,70,0
54,Jun 17 2019 12:38:09.717015000 MST,0.002941000,72,70,1
55,Jun 17 2019 12:38:09.723155000 MST,0.006140000,500,70,0
56,Jun 17 2019 12:38:09.734946000 MST,0.011791000,72,70,1
57,Jun 17 2019 12:38:09.756936000 MST,0.021990000,72,70,1
58,Jun 17 2019 12:38:09.762099000 MST,0.005163000,1206,70,1
59,Jun 17 2019 12:38:09.762958000 MST,0.000859000,886,70,1
60,Jun 17 2019 12:38:09.776977000 MST,0.014019000,88,70,1
61,Jun 17 2019 12:38:09.792093000 MST,0.015116000,136,70,1
62,Jun 17 2019 12:38:09.801990000 MST,0.009897000,148,70,1
63,Jun 17 2019 12:38:09.805089000 MST,0.003099000,548,70,0
64,Jun 17 2019 12:38:09.825167000 MST,0.020078000,548,70,0
65,Jun 17 2019 12:38:09.834000000 MST,0.008833000,216,70,0
66,Jun 17 2019 12:38:09.843099000 MST,0.009099000,500,70,0
67,Jun 17 2019 12:38:09.844087000 MST,0.000988000,100,70,1
68,Jun 17 2019 12:38:09.849941000 MST,0.005854000,120,70,1
69,Jun 17 2019 12:38:09.850962000 MST,0.001021000,588,70,1
70,Jun 17 2019 12:38:09.855059000 MST,0.004097000,72,70,1
71,Jun 17 2019 12:38:09.885134000 MST,0.030075000,548,70,0
72,Jun 17 2019 12:38:09.885943000 MST,0.000809000,88,70,1
73,Jun 17 2019 12:38:09.898011000 MST,0.012068000,136,70,1
74,Jun 17 2019 12:38:09.925071000 MST,0.027060000,548,70,0
75,Jun 17 2019 12:38:09.934091000 MST,0.009020000,172,70,0
76,Jun 17 2019 12:38:09.937062000 MST,0.002971000,364,70,1
77,Jun 17 2019 12:38:09.946949000 MST,0.009887000,72,70,1
78,Jun 17 2019 12:38:09.957110000 MST,0.010161000,72,70,1
79,Jun 17 2019 12:38:09.965127000 MST,0.008017000,548,70,0
80,Jun 17 2019 12:38:09.965966000 MST,0.000839000,452,70,1
81,Jun 17 2019 12:38:09.968107000 MST,0.002141000,72,70,1
82,Jun 17 2019 12:38:09.970947000 MST,0.002840000,2067,70,1
83,Jun 17 2019 12:38:09.974002000 MST,0.003055000,1398,70,1
84,Jun 17 2019 12:38:09.975027000 MST,0.001025000,1446,70,1
85,Jun 17 2019 12:38:09.976112000 MST,0.001085000,1014,70,1
86,Jun 17 2019 12:38:10.005095000 MST,0.028983000,548,70,0
87,Jun 17 2019 12:38:10.006078000 MST,0.000983000,108,70,1
88,Jun 17 2019 12:38:10.014146000 MST,0.008068000,500,70,0
89,Jun 17 2019 12:38:10.023187000 MST,0.009041000,732,70,0
90,Jun 17 2019 12:38:10.036064000 MST,0.012877000,364,70,1
91,Jun 17 2019 12:38:10.065064000 MST,0.029000000,548,70,0
92,Jun 17 2019 12:38:10.066052000 MST,0.000988000,468,70,1
93,Jun 17 2019 12:38:10.066896000 MST,0.000844000,340,70,1
94,Jun 17 2019 12:38:10.077941000 MST,0.011045000,1398,70,1
95,Jun 17 2019 12:38:10.078991000 MST,0.001050000,1398,70,1
96,Jun 17 2019 12:38:10.080914000 MST,0.001923000,2784,70,1
97,Jun 17 2019 12:38:10.083082000 MST,0.002168000,1398,70,1
98,Jun 17 2019 12:38:10.083972000 MST,0.000890000,1014,70,1
99,Jun 17 2019 12:38:10.105132000 MST,0.021160000,548,70,0
100,Jun 17 2019 12:38:10.113977000 MST,0.008845000,300,70,0
101,Jun 17 2019 12:38:10.127043000 MST,0.013066000,1398,70,1
102,Jun 17 2019 12:38:10.127973000 MST,0.000930000,1398,70,1
103,Jun 17 2019 12:38:10.130075000 MST,0.002102000,2592,70,1
104,Jun 17 2019 12:38:10.145086000 MST,0.015011000,548,70,0
105,Jun 17 2019 12:38:10.146069000 MST,0.000983000,72,70,1
106,Jun 17 2019 12:38:10.148039000 MST,0.001970000,72,70,1
107,Jun 17 2019 12:38:10.151010000 MST,0.002971000,1923,70,1
108,Jun 17 2019 12:38:10.163068000 MST,0.012058000,88,70,1
109,Jun 17 2019 12:38:10.185176000 MST,0.022108000,108,70,1
110,Jun 17 2019 12:38:10.185180000 MST,0.000004000,548,70,0
111,Jun 17 2019 12:38:10.205030000 MST,0.019850000,548,70,0
112,Jun 17 2019 12:38:10.214148000 MST,0.009118000,982,70,0
113,Jun 17 2019 12:38:10.226935000 MST,0.012787000,88,70,1
114,Jun 17 2019 12:38:10.265018000 MST,0.038083000,548,70,0
115,Jun 17 2019 12:38:10.278049000 MST,0.013031000,72,70,1
116,Jun 17 2019 12:38:10.305926000 MST,0.027877000,2784,70,1
117,Jun 17 2019 12:38:10.308078000 MST,0.002152000,484,70,1
118,Jun 17 2019 12:38:10.345044000 MST,0.036966000,72,70,1
119,Jun 17 2019 12:38:10.345050000 MST,0.000006000,548,70,0
120,Jun 17 2019 12:38:10.353974000 MST,0.008924000,72,70,1
121,Jun 17 2019 12:38:10.365115000 MST,0.011141000,548,70,0
122,Jun 17 2019 12:38:10.377948000 MST,0.012833000,364,70,1
123,Jun 17 2019 12:38:10.388090000 MST,0.010142000,388,70,1
124,Jun 17 2019 12:38:10.405024000 MST,0.016934000,548,70,0
125,Jun 17 2019 12:38:10.445114000 MST,0.040090000,886,70,1
126,Jun 17 2019 12:38:10.445119000 MST,0.000005000,548,70,0
127,Jun 17 2019 12:38:10.505055000 MST,0.059936000,548,70,0
