frame.number,frame.time,frame.time_delta,,frame.len,mac-lte.rnti,mac-lte.direction
1,Jun 17 2019 14:05:29.317708000 MST,0,0,22,2,1
2,Jun 17 2019 14:05:29.327679000 MST,0.009971,0.009971,22,70,0
3,Jun 17 2019 14:05:29.342746000 MST,0.015067,0.025038,56,70,1
4,Jun 17 2019 14:05:29.382742000 MST,0.039996,0.065034,172,70,0
5,Jun 17 2019 14:05:29.383756000 MST,0.001014,0.066048,33,70,1
6,Jun 17 2019 14:05:29.384628000 MST,0.000872,0.06692,33,70,1
7,Jun 17 2019 14:05:29.402769000 MST,0.018141,0.085061,548,70,0
8,Jun 17 2019 14:05:29.403595000 MST,0.000826,0.085887,72,70,1
9,Jun 17 2019 14:05:29.422637000 MST,0.019042,0.104929,548,70,0
10,Jun 17 2019 14:05:29.562615000 MST,0.139978,0.244907,548,70,0
11,Jun 17 2019 14:05:29.563629000 MST,0.001014,0.245921,47,70,1
12,Jun 17 2019 14:05:29.564719000 MST,0.00109,0.247011,43,70,1
13,Jun 17 2019 14:05:29.582762000 MST,0.018043,0.265054,548,70,0
14,Jun 17 2019 14:05:29.583765000 MST,0.001003,0.266057,41,70,1
15,Jun 17 2019 14:05:29.602724000 MST,0.018959,0.285016,548,70,0
16,Jun 17 2019 14:05:29.603765000 MST,0.001041,0.286057,33,70,1
17,Jun 17 2019 14:05:29.622783000 MST,0.019018,0.305075,548,70,0
18,Jun 17 2019 14:05:29.623604000 MST,0.000821,0.305896,120,70,1
19,Jun 17 2019 14:05:29.624697000 MST,0.001093,0.306989,120,70,1
20,Jun 17 2019 14:05:29.642648000 MST,0.017951,0.32494,548,70,0
21,Jun 17 2019 14:05:29.643642000 MST,0.000994,0.325934,22,70,1
22,Jun 17 2019 14:05:29.682744000 MST,0.039102,0.365036,548,70,0
23,Jun 17 2019 14:05:29.683564000 MST,0.00082,0.365856,22,70,1
24,Jun 17 2019 14:05:29.824652000 MST,0.141088,0.506944,72,70,1
25,Jun 17 2019 14:05:29.842791000 MST,0.018139,0.525083,548,70,0
26,Jun 17 2019 14:05:31.562789000 MST,1.719998,2.245081,548,70,0
27,Jun 17 2019 14:05:31.576577000 MST,0.013788,2.258869,100,70,1
28,Jun 17 2019 14:05:31.601583000 MST,0.025006,2.283875,148,70,1
29,Jun 17 2019 14:05:31.612591000 MST,0.011008,2.294883,120,70,1
30,Jun 17 2019 14:05:31.622766000 MST,0.010175,2.305058,548,70,0
31,Jun 17 2019 14:05:31.642626000 MST,0.01986,2.324918,548,70,0
32,Jun 17 2019 14:05:31.654689000 MST,0.012063,2.336981,88,70,1
33,Jun 17 2019 14:05:31.662672000 MST,0.007983,2.344964,548,70,0
34,Jun 17 2019 14:05:31.663693000 MST,0.001021,2.345985,100,70,1
35,Jun 17 2019 14:05:31.672565000 MST,0.008872,2.354857,128,70,1
36,Jun 17 2019 14:05:31.674724000 MST,0.002159,2.357016,88,70,1
37,Jun 17 2019 14:05:31.682728000 MST,0.008004,2.36502,532,70,0
38,Jun 17 2019 14:05:31.695619000 MST,0.012891,2.377911,72,70,1
39,Jun 17 2019 14:05:31.702775000 MST,0.007156,2.385067,548,70,0
40,Jun 17 2019 14:05:31.715668000 MST,0.012893,2.39796,72,70,1
41,Jun 17 2019 14:05:31.716571000 MST,0.000903,2.398863,232,70,1
42,Jun 17 2019 14:05:31.721703000 MST,0.005132,2.403995,2496,70,1
43,Jun 17 2019 14:05:31.762782000 MST,0.041079,2.445074,172,70,0
44,Jun 17 2019 14:05:31.782685000 MST,0.019903,2.464977,172,70,0
45,Jun 17 2019 14:05:31.798713000 MST,0.016028,2.481005,72,70,1
46,Jun 17 2019 14:05:31.801725000 MST,0.003012,2.484017,1158,70,1
47,Jun 17 2019 14:05:31.822756000 MST,0.021031,2.505048,268,70,0
48,Jun 17 2019 14:05:31.831765000 MST,0.009009,2.514057,56,70,0
49,Jun 17 2019 14:05:31.844688000 MST,0.012923,2.52698,364,70,1
50,Jun 17 2019 14:05:31.847679000 MST,0.002991,2.529971,200,70,1
51,Jun 17 2019 14:05:31.882687000 MST,0.035008,2.564979,548,70,0
52,Jun 17 2019 14:05:31.895582000 MST,0.012895,2.577874,88,70,1
53,Jun 17 2019 14:05:31.896655000 MST,0.001073,2.578947,340,70,1
54,Jun 17 2019 14:05:31.902736000 MST,0.006081,2.585028,548,70,0
55,Jun 17 2019 14:05:31.908718000 MST,0.005982,2.59101,216,70,1
56,Jun 17 2019 14:05:31.911563000 MST,0.002845,2.593855,64,70,0
57,Jun 17 2019 14:05:31.920644000 MST,0.009081,2.602936,340,70,0
58,Jun 17 2019 14:05:31.929701000 MST,0.009057,2.611993,588,70,0
59,Jun 17 2019 14:05:31.941713000 MST,0.012012,2.624005,72,70,1
60,Jun 17 2019 14:05:31.942613000 MST,0.0009,2.624905,72,70,1
61,Jun 17 2019 14:05:31.951649000 MST,0.009036,2.633941,72,70,1
62,Jun 17 2019 14:05:31.952721000 MST,0.001072,2.635013,232,70,1
63,Jun 17 2019 14:05:31.968709000 MST,0.015988,2.651001,2784,70,1
64,Jun 17 2019 14:05:31.970644000 MST,0.001935,2.652936,452,70,1
65,Jun 17 2019 14:05:31.972598000 MST,0.001954,2.65489,88,70,1
66,Jun 17 2019 14:05:31.982760000 MST,0.010162,2.665052,548,70,0
67,Jun 17 2019 14:05:31.994628000 MST,0.011868,2.67692,72,70,1
68,Jun 17 2019 14:05:32.002629000 MST,0.008001,2.684921,548,70,0
69,Jun 17 2019 14:05:32.025638000 MST,0.023009,2.70793,72,70,1
70,Jun 17 2019 14:05:32.045687000 MST,0.020049,2.727979,72,70,1
71,Jun 17 2019 14:05:32.047638000 MST,0.001951,2.72993,612,70,1
